CPV Code,Description
43310000Maskiner,til bygge- og anleggsvirksomhet43311000Rambukk43312000Maskiner til veilegging43312100Planeringsmaskiner43312200Fresere43312300Maskiner til brolegging43312400Veitromler43312500Mekaniske tromler43313000Snøploger og snøfresere43313100Snøploger43313200Snøfresere43314000Påleoppdragere43315000Komprimeringsmaskiner43316000Kabelleggingsmaskiner
43312000Maskiner,til veilegging43312100Planeringsmaskiner43312200Fresere43312300Maskiner til brolegging43312400Veitromler43312500Mekaniske tromler
43312300Maskiner,til brolegging
43312500Mekaniske,tromler
43313000Snøploger,og snøfresere43313100Snøploger43313200Snøfresere
43320000Anleggsutstyr,til bygge- og anleggsarbeid43321000Bruopphengningsutstyr43322000Demonteringsutstyr43323000Kunstvanningsutstyr43324000Dreneringsutstyr43324100Utstyr til svømmebassenger43325000Utstyr til parker og lekeplasser43325100Utstyr til vedlikehold av utendørs arealer43327000Prefabrikert utstyr43328000Hydrauliske installasjoner43328100Hydraulisk utstyr43329000Utstyrssett
43324000Dreneringsutstyr43324100Utstyr,til svømmebassenger
43324100Utstyr,til svømmebassenger
43325000Utstyr,til parker og lekeplasser43325100Utstyr til vedlikehold av utendørs arealer
43325100Utstyr,til vedlikehold av utendørs arealer
43327000Prefabrikert,utstyr
43328000Hydrauliske,installasjoner43328100Hydraulisk utstyr
43328100Hydraulisk,utstyr
43400000Maskiner,til mineralbearbeiding og fremstilling av støpeformer43410000Maskiner til mineralbearbeiding43411000Sorterings- og siktemaskiner43412000Maskiner til blanding av tilslagsmaterialer og bitumen43413000Betong- eller mørtelblandere43413100Sementblandere43414000Slipemaskiner43414100Kullknusemøller43415000Støpeformer43420000Maskiner til fremstilling av støpeformer
43410000Maskiner,til mineralbearbeiding43411000Sorterings- og siktemaskiner43412000Maskiner til blanding av tilslagsmaterialer og bitumen43413000Betong- eller mørtelblandere43413100Sementblandere43414000Slipemaskiner43414100Kullknusemøller43415000Støpeformer
43411000Sorterings-,og siktemaskiner
43412000Maskiner,til blanding av tilslagsmaterialer og bitumen
43413000Betong-,eller mørtelblandere43413100Sementblandere
43420000Maskiner,til fremstilling av støpeformer
43600000Deler,"til gruvedriftsmaskiner, steinbrytingsmaskiner og bygge- og anleggsmaskiner43610000Deler til boremaskiner43611000Deler til brønnboringsmaskiner43611100Bruplugg, (-pakning, stenge-)43611200Industrielle borekroner43611300Boreringer43611400Boregjenger av jern43611500Rotasjonsbord43611600Opphengsutstyr for slamledninger43611700Sammenbindingsutstyr43612000Deler til brønntappingsutstyr43612100Røroppheng, foringsrørhenger43612200Røropphengsutstyr43612300Strekkmaskin for produksjonsstigerør43612400Brønnhoder43612500Sammenbindingsutstyr til produksjonsstigerør43612600Styringssystem til brønnhoder43612700Brønnhodeutstyr43612800Heve systemer til boreplattformer43613000Deler til kull- eller steinkuttemaskiner43613100Deler til kullkuttemaskiner43613200Deler til steinbrytingsmaskiner43614000Deler til tunnelboremaskiner43620000Deler til mineralbearbeidingsmaskiner43630000Deler til synkemaskiner43640000Deler til graveutstyr"
43610000Deler,"til boremaskiner43611000Deler til brønnboringsmaskiner43611100Bruplugg, (-pakning, stenge-)43611200Industrielle borekroner43611300Boreringer43611400Boregjenger av jern43611500Rotasjonsbord43611600Opphengsutstyr for slamledninger43611700Sammenbindingsutstyr43612000Deler til brønntappingsutstyr43612100Røroppheng, foringsrørhenger43612200Røropphengsutstyr43612300Strekkmaskin for produksjonsstigerør43612400Brønnhoder43612500Sammenbindingsutstyr til produksjonsstigerør43612600Styringssystem til brønnhoder43612700Brønnhodeutstyr43612800Heve systemer til boreplattformer43613000Deler til kull- eller steinkuttemaskiner43613100Deler til kullkuttemaskiner43613200Deler til steinbrytingsmaskiner43614000Deler til tunnelboremaskiner"
43611000Deler,"til brønnboringsmaskiner43611100Bruplugg, (-pakning, stenge-)43611200Industrielle borekroner43611300Boreringer43611400Boregjenger av jern43611500Rotasjonsbord43611600Opphengsutstyr for slamledninger43611700Sammenbindingsutstyr"
"43611100Bruplugg,","(-pakning, stenge-)"
43611200Industrielle,borekroner
43611400Boregjenger,av jern
43611600Opphengsutstyr,for slamledninger
43612000Deler,"til brønntappingsutstyr43612100Røroppheng, foringsrørhenger43612200Røropphengsutstyr43612300Strekkmaskin for produksjonsstigerør43612400Brønnhoder43612500Sammenbindingsutstyr til produksjonsstigerør43612600Styringssystem til brønnhoder43612700Brønnhodeutstyr43612800Heve systemer til boreplattformer"
"43612100Røroppheng,",foringsrørhenger
43612300Strekkmaskin,for produksjonsstigerør
43612500Sammenbindingsutstyr,til produksjonsstigerør
43612600Styringssystem,til brønnhoder
43612800Heve,systemer til boreplattformer
43613000Deler,til kull- eller steinkuttemaskiner43613100Deler til kullkuttemaskiner43613200Deler til steinbrytingsmaskiner
43613100Deler,til kullkuttemaskiner
43613200Deler,til steinbrytingsmaskiner
43614000Deler,til tunnelboremaskiner
43620000Deler,til mineralbearbeidingsmaskiner
43630000Deler,til synkemaskiner
43640000Deler,til graveutstyr
43700000Maskiner,til metallindustrien og tilhørende deler43710000Metallvalsemaskiner43711000Deler til metallvalsemaskiner43720000Støpemaskiner43721000Deler til støpemaskiner
43710000Metallvalsemaskiner43711000Deler,til metallvalsemaskiner
43711000Deler,til metallvalsemaskiner
43720000Støpemaskiner43721000Deler,til støpemaskiner
43721000Deler,til støpemaskiner
43800000Verkstedsutstyr43810000Trebearbeidingsutstyr43811000Pussemaskiner43812000Sagutstyr43820000Utstyr,til skofremstilling43830000Maskinverktøy43840000Smedverktøy
43820000Utstyr,til skofremstilling
44000000Konstruksjonsstrukturer,"og materiale; reserveprodukter til konstruksjon (bortsett fra elektriske apparater)44100000Materialer til bygge- og anleggsarbeid og tilknyttede gjenstander44110000Bygningsmaterialer44111000Byggematerialer44111100Murstein44111200Sement44111210Boresement44111300Keramikk44111400Maling og veggbekledninger44111500Isolering og isoleringstilbehør44111510Isolering44111520Varmeisolasjonsmateriale44111530Elektriske isoleringsdeler44111540Isolerglass44111600Blokker44111700Fliser44111800Mørtel44111900Keramikkheller44112000Diverse bygningskonstruksjoner44112100Leskur44112110Deler til leskur44112120Profildeler44112200Gulvbelegg44112210Harde gulv44112220Dobbeltgulv44112230Linoleum44112240Parkett44112300Skillevegg44112310Skillevegger44112400Tak44112410Takkonstruksjoner44112420Takbjelker44112430Takstoler44112500Takdekningsmaterialer44112510Takspon, shingel44112600Lydisoleringsmaterialer44112700Bjelker44113000Veibygningsmaterialer44113100Brulegningsmaterialer44113120Fliser til brolegging44113130Brustein44113140Steinmaterialer til veibygging44113200Steinheller44113300Belagte materialer44113310Belagte veimaterialer44113320Belagte steinmaterialer til veibygging44113330Bestrykningsmaterialer44113500Glassperler44113600Bitumen og asfalt44113610Bitumen44113620Asfalt44113700Materialer til utbedring av veier44113800Veileggingsmaterialer44113810Overflatebehandling44113900Materialer til veivedlikehold44113910Materialer til vintervedlikehold44114000Betong44114100Ferdigblandet betong44114200Betongprodukter44114210Betongpæler44114220Betongrør og -armatur44114250Betongheller44115000Armatur til bygninger44115100Kanalrør44115200Material til sanitæranlegg og varmeinstallasjoner44115210Materialer til sanitæranlegg44115220Materialer til varmeinstallasjoner44115400Overlys44115500Sprinklersystemer44115600Trappeheiser44115700Utendørs sjalusier44115710Baldakiner44115800Armatur til innendørs bruk44115810Gardinskinner og gardiner44115900Solbeskyttelsesanordninger44130000Hovedkloakkledninger44131000Spillvannskamre44132000Kulvertelementer44133000Sluttmuffer av strekkbart jern44134000Bøyninger, knerør44140000Produkter i forbindelse med konstruksjonsmaterialer44141000Ledere44141100Elektriske ledninger44142000Rammer44143000Paller44144000Stolper44160000Rørledning, rørsystemer, rør, fôringsrør, rørledning systemer og beslektede gjenstander44161000Rørledninger44161100Gassrørledninger44161110Gassledningsnett44161200Vannledninger44161400Undervannsrørledning44161410Undersjøiske rørledninger44161500Høytrykksrørledning44161600Lavtrykksrørledning44161700Rørrensere44161710Rørrenserutløsere44161720Rørrensermottakere44161730Endestasjoner for rørrensere44162000Rørsystem44162100Leveranser til rørsystemer44162200Distribusjon rørsystemer44162300Utløpsrørsystemer44162400Kummer av forglasset leire44162500Rørledninger til drikkevann44163000Rør og armatur44163100Rør44163110Dreneringsrør44163120Fjernvarmerørledninger44163130Spillvannsrør44163140Damp- og vannrør44163150Lavtrykksrør44163160Distribusjonsrør og tilbehør44163200Rørbeslag44163210Rørklemmer44163230Rørkoblinger44163240Rørskøter44164000Fôringsrør og rørledninger44164100Fôringsrør44164200Tuber44164300Røremner44164310Tuber og beslag44165000Slanger, stigerør og hylser44165100Slanger44165110Boreslanger44165200Stigerør44165210Bøyelige stigerør44165300Hylser44166000Rørmateriale til oljeindustrien.44167000Diverse rørarmaturer44167100Koplinger44167110Flenser44167200Reparasjonstvinger og krager44167300Rørbøyninger, T-rør og rørarmatur44167400Vinkler44170000Plater, flak, remser og folie i forbindelse med konstruksjonsmaterialer44171000Plater (konstruksjon)44172000Flak (konstruksjon)44173000Remser44174000Folie44175000Paneler44176000Film44190000Diverse konstruksjonsmateriell44191000Diverse konstruksjonsmateriell i tre44191100Kryssfiner44191200Laminert tre44191300Sponplater44191400Fiberplater44191500Komprimert tre44191600Parkettplater44192000Andre diverse konstruksjonsmateriell44192100PVC-skum44192200Spiker44200000Strukturprodukter44210000Strukturer og deler av strukturer44211000Prefabrikkerte bygninger44211100Moduloppbygde og mobile brakker44211110Brakker og hytter44211200Små brakker44211300Feltsykehus44211400Feltkjøkkener44211500Veksthus44212000Strukturprodukter og deler, bortsett fra Prefabrikkerte bygninger44212100Bro44212110Broseksjoner44212120Brostrukturer44212200Tårn, fagverksmaster, løftekraner og master44212210Løftekraner44212220Pyloner, master og påler44212230Tårn44212240Dragere44212250Master44212260Radio- og fjernsynsmaster44212300Strukturer og deler44212310Stillaser44212320Diverse strukturer44212380Deler av strukturer44212390Sluser44212400Spunter44212410Spuntvegger44212500Bøyer og seksjoner44212510Bøyer44212520Seksjoner44220000Bygningstømmer44221000Vinduer, dører og tilbehør44221100Vinduer44221110Vinduskarmer44221120Vindusdører44221200Dører44221210Dørblad44221220Branndører44221230Skyvedører44221240Garasjeporter44221300Porter44221310Adgangsporter44221400Skodder44221500Dørstokker44230000Snekkerartikler44231000Ferdiglagete gjerdeplater44232000Taksperrer av tre44233000Trapper44300000Kabler, metalltråd og beslektede produkter44310000Metalltråd produkter44311000Ståltrådskabel44312000Inngjerdingstråd44312300Piggtråd44313000Metallnett44313100Gjerde av trådnett44313200Metall duk44315000Valsetråd44315100Sveisetilbehør44315200Sveisematerialer44315300Materialer til lodding eller slaglodding44315310Materialer til lodding44315320Materialer til slaglodding44316000Jernvarer44316100Ambolter44316200Feltsmie44316300Rister44316400Metallprodukter44316500Smedprodukter44316510Grovsmidde produkter44317000Stropper av jern eller stål44318000Ledere44320000Kabel og tilhørende produkter44321000Kabel44322000Tilbehør til kabler44322100Kabelrør44322200Kabelkoplinger44322300Kabelkanal, -rør44322400Festeanordninger til kabler44330000Barrer, stenger, ledninger og profiler til bruk i konstruksjon44331000Barrer44332000Stenger (konstruksjon)44333000Ledninger44334000Profiler44400000Diverse fabrikkerte produkter og tilbehør44410000Baderoms- og kjøkkenartikler44411000Sanitetsvarer44411100Tappekraner44411200Badekar44411300Håndvasker44411400Dusjkabinett44411600Bideer44411700Toalettseter, toalettlokk, toalettskåler og toalettsisterner44411710Toalettseter44411720Toalettlokk44411740Toalettskåler44411750Cisterner44411800Urinaler44420000Varer og artikler brukt i konstruksjon44421000Pansrede eller forsterkede pengeskap, bokser og dører44421300Pengeskap, safer44421500Pansrede eller forsterkede dører44421600Bankboksskap44421700Bokser og skap44421710Skap til bagasjeoppbevaring44421720Låsbare skap44421780Sikrede dokumentkasser, bankbokser44421790Pengekasser44422000Postkasser44423000Diverse artikler44423100Ringelokker44423200Stiger44423220Sammenleggbare trappestiger44423230Trappestol44423300Godshåndterings utstyr44423330Godsplattformer44423340Ståltaustilbehør for godshåndtering44423400Skilt og tilbehør44423450Navneskilt44423460Adresseskilt44423700Elementer til gatebrønner og -kummer44423710Beskyttelseshette44423720Grensekasser44423730Kummbeslag44423740Kummelokk44423750Avløpssdeksler44423760Adgangsdeksler, inspeksjonsluker44423790Trinnjern til kummer44423800Metallstempler44423810Gummistempler44423850Former44423900Offeranoder44424000Sikringsskap og teip44424100Sikringsskap44424200Selvklebende teip44424300Reflekterende teip44425000Ringer, forsegling, bånd, stikker og murspatler44425100Elastiske ringer44425110Selvklebende forsterkningsringer44425200Gummipakninger44425300Gummibånd44425400Tetningsmasser44425500Pinne av plast44430000Panserbekledning44431000Dekkplater44440000Lager44441000Mikroperler44442000Kulelager44450000Bløtt stål44451000Upreget mynt44452000Myntbokser44460000Støtter og gruveavstivere44461000Støtter44461100Gruvestøtter44462000Gruveavstivere44464000Belter til beltetraktorer, Caterpillars44470000Støpejernsprodukter44480000Diverse brannbeskyttelsesutstyr44481000Plattformsstiger44481100Brannstiger44482000Brannbeskyttelsesanordninger44482100Brannslanger44482200Brannhydranter44500000Verktøy, låser, nøkler, hengsler, fester, lenker og fjører.44510000Verktøy44511000Håndverktøy44511100Spader og skuffer/skovler44511110Spader44511120Skuffer/skovler44511200Hagegreip44511300Rotøkser, spisshakker, hakker, river og strandriver44511310Rotøkser44511320Spisshakker44511330Hakker44511340River44511400Økser44511500Håndsag44511510Blad til håndsag44512000Diverse håndverktøy44512100Meisler44512200Tenger44512210Krympetenger44512300Hammere44512400Trådklemmer44512500Skiftenøkler44512600Verktøyer til veiarbeid44512610Nagler til gjennombryting av veioverflater44512700Filer eller rasper44512800Skrutrekker44512900Borbits, skrutrekkerbits og annet tilbehør44512910Borbits/borkrone44512920Skrutrekkerbits44512930Verktøykasser44512940Verktøysett44513000Pedalverktøy44514000Verktøyhåndtak og -deler44514100Verktøyhåndtak44514200Verktøydeler44520000Låser, nøkler og hengsler44521000Diverse hengelåser og låser44521100Låser44521110Dørlåser44521120Elektronisk sikkerhetslås44521130Forsterket sikkerhetslås44521140Låser til møbler44521200Hengelåser og kjeder44521210Hengelåser44522000Hasper, deler til låser og nøkler44522100Hasper44522200Nøkler44522300Deler til hengelåser44522400Deler til låser44523000Hengsler, beslag og armatur44523100Hengsler44523200Beslag44523300Armatur44530000Fester44531000Festeanordninger med gjenger44531100Treskruer44531200Hakeskrue og ringskruer44531300Selvborende skruer44531400Bolter44531500Flensskjøtesamlinger44531510Bolter og skruer44531520Trebolter og -skruer med firkantet eller sekskantet hode44531600Muttrer44531700Artikler med gjenger, av jern eller stål44532000Festeanordninger uten gjenger44532100Nagler44532200Stoppskiver44532300Splinter44532400Lasker av stål44533000Festeanordninger av kobber44540000Kjeder44541000Leddkjede44542000Deler til kjeder44550000Fjær44600000Tanker, reservoarer og beholdere; sentralvarmeradiatorer og varmtvannstanker44610000Tanker, reservoarer, beholdere og trykktanker44611000Tanker44611100Luftflasker44611110Trykkluftflasker44611200Innåndingsapparat44611400Lagringstanker44611410Oljetanker44611420Slamtanker44611500Vanntanker44611600Reservoarer44612000Beholdere til flytende gasser44612100Gassflasker44612200Gassbeholdere44613000Store beholdere44613200Kjølecontainere44613210Vannkamre44613300Standard fraktcontainere44613400Lagercontainere44613500Vannbeholdere44613600Containere på hjul44613700Avfallscontainere44613800Søppelkontainere44614000Tønner44614100Lagerbeholdere44614300Container-lagringssystem44614310Stablemaskiner44615000Trykkbeholdere44615100Trykkbeholdere av stål44616000Tromler44616200Tromler til avfall44617000Bokser44617100Kartonger44617200Målekasse44617300Prefabrikkerte kasser44618000Lette containere, korker, topper til containere, kar og lokk44618100Lette beholdere44618300Korker, stoppere, deksler og lokk til containere44618310Korker44618320Stoppere44618330Lokk til beholdere44618340Lokk44618350Plastkapsler44618400Hermetikkbokser44618420Konserveringsbokser44618500Kar44619000Andre beholdere44619100Esker44619200Kabeltromler44619300Kasser44619400Fat44619500Pallebokser44620000Sentralvarmeanleggradiatorer og -kjeler samt deler til disse44621000Radiatorer og kjeler44621100Radiatorer44621110Radiatorer til sentralvarmeanlegg44621200Kjeler44621210Vannkjeler44621220Kjeler til sentralvarmeanlegg44622000Varmegjenvinningsanlegg44622100Varmegjenvinningsutstyr44800000Maling, lakk og mastiks44810000Malinger44811000Veimaling44812000Kunstnerfarger44812100Emaljer og lasur44812200Olje- og vannbaserte malinger44812210Oljemalinger44812220Vannbaserte malinger44812300Farger til undervisningsbruk44812310Fargeeske44812320Plakatfarger44812400Tilbehør til utsmykking44820000Lakker44830000Mastiks, fyllmasse, kitt og løsningsmiddel44831000Mastiks sparkelmasse og kitt44831100Mastiks44831200Sparkelmasse44831300Kitt44831400Injiseringsmørtel, puss44832000Oppløsningsmidler44832100Maling og lakk fjerner44832200Fortynningsmiddel44900000Steiner til konstruksjon, kalkstein, gips og skifer44910000Stein til bygging44911000Bygningsstein av marmor og kalkstein44911100Marmor44911200Travertin44912000Diverse bygningsstein44912100Granitt44912200Sandstein44912300Basalt44912400Kantstein44920000Kalkstein, gips og kritt44921000Kalkstein og gips44921100Gips44921200Kalk44921210Kalkmel44921300Kalkstein44922000Kritt og dolomitt44922100Kritt44922200Dolomitt44930000Skifer"
44100000Materialer,"til bygge- og anleggsarbeid og tilknyttede gjenstander44110000Bygningsmaterialer44111000Byggematerialer44111100Murstein44111200Sement44111210Boresement44111300Keramikk44111400Maling og veggbekledninger44111500Isolering og isoleringstilbehør44111510Isolering44111520Varmeisolasjonsmateriale44111530Elektriske isoleringsdeler44111540Isolerglass44111600Blokker44111700Fliser44111800Mørtel44111900Keramikkheller44112000Diverse bygningskonstruksjoner44112100Leskur44112110Deler til leskur44112120Profildeler44112200Gulvbelegg44112210Harde gulv44112220Dobbeltgulv44112230Linoleum44112240Parkett44112300Skillevegg44112310Skillevegger44112400Tak44112410Takkonstruksjoner44112420Takbjelker44112430Takstoler44112500Takdekningsmaterialer44112510Takspon, shingel44112600Lydisoleringsmaterialer44112700Bjelker44113000Veibygningsmaterialer44113100Brulegningsmaterialer44113120Fliser til brolegging44113130Brustein44113140Steinmaterialer til veibygging44113200Steinheller44113300Belagte materialer44113310Belagte veimaterialer44113320Belagte steinmaterialer til veibygging44113330Bestrykningsmaterialer44113500Glassperler44113600Bitumen og asfalt44113610Bitumen44113620Asfalt44113700Materialer til utbedring av veier44113800Veileggingsmaterialer44113810Overflatebehandling44113900Materialer til veivedlikehold44113910Materialer til vintervedlikehold44114000Betong44114100Ferdigblandet betong44114200Betongprodukter44114210Betongpæler44114220Betongrør og -armatur44114250Betongheller44115000Armatur til bygninger44115100Kanalrør44115200Material til sanitæranlegg og varmeinstallasjoner44115210Materialer til sanitæranlegg44115220Materialer til varmeinstallasjoner44115400Overlys44115500Sprinklersystemer44115600Trappeheiser44115700Utendørs sjalusier44115710Baldakiner44115800Armatur til innendørs bruk44115810Gardinskinner og gardiner44115900Solbeskyttelsesanordninger44130000Hovedkloakkledninger44131000Spillvannskamre44132000Kulvertelementer44133000Sluttmuffer av strekkbart jern44134000Bøyninger, knerør44140000Produkter i forbindelse med konstruksjonsmaterialer44141000Ledere44141100Elektriske ledninger44142000Rammer44143000Paller44144000Stolper44160000Rørledning, rørsystemer, rør, fôringsrør, rørledning systemer og beslektede gjenstander44161000Rørledninger44161100Gassrørledninger44161110Gassledningsnett44161200Vannledninger44161400Undervannsrørledning44161410Undersjøiske rørledninger44161500Høytrykksrørledning44161600Lavtrykksrørledning44161700Rørrensere44161710Rørrenserutløsere44161720Rørrensermottakere44161730Endestasjoner for rørrensere44162000Rørsystem44162100Leveranser til rørsystemer44162200Distribusjon rørsystemer44162300Utløpsrørsystemer44162400Kummer av forglasset leire44162500Rørledninger til drikkevann44163000Rør og armatur44163100Rør44163110Dreneringsrør44163120Fjernvarmerørledninger44163130Spillvannsrør44163140Damp- og vannrør44163150Lavtrykksrør44163160Distribusjonsrør og tilbehør44163200Rørbeslag44163210Rørklemmer44163230Rørkoblinger44163240Rørskøter44164000Fôringsrør og rørledninger44164100Fôringsrør44164200Tuber44164300Røremner44164310Tuber og beslag44165000Slanger, stigerør og hylser44165100Slanger44165110Boreslanger44165200Stigerør44165210Bøyelige stigerør44165300Hylser44166000Rørmateriale til oljeindustrien.44167000Diverse rørarmaturer44167100Koplinger44167110Flenser44167200Reparasjonstvinger og krager44167300Rørbøyninger, T-rør og rørarmatur44167400Vinkler44170000Plater, flak, remser og folie i forbindelse med konstruksjonsmaterialer44171000Plater (konstruksjon)44172000Flak (konstruksjon)44173000Remser44174000Folie44175000Paneler44176000Film44190000Diverse konstruksjonsmateriell44191000Diverse konstruksjonsmateriell i tre44191100Kryssfiner44191200Laminert tre44191300Sponplater44191400Fiberplater44191500Komprimert tre44191600Parkettplater44192000Andre diverse konstruksjonsmateriell44192100PVC-skum44192200Spiker"
44110000Bygningsmaterialer44111000Byggematerialer44111100Murstein44111200Sement44111210Boresement44111300Keramikk44111400Maling,"og veggbekledninger44111500Isolering og isoleringstilbehør44111510Isolering44111520Varmeisolasjonsmateriale44111530Elektriske isoleringsdeler44111540Isolerglass44111600Blokker44111700Fliser44111800Mørtel44111900Keramikkheller44112000Diverse bygningskonstruksjoner44112100Leskur44112110Deler til leskur44112120Profildeler44112200Gulvbelegg44112210Harde gulv44112220Dobbeltgulv44112230Linoleum44112240Parkett44112300Skillevegg44112310Skillevegger44112400Tak44112410Takkonstruksjoner44112420Takbjelker44112430Takstoler44112500Takdekningsmaterialer44112510Takspon, shingel44112600Lydisoleringsmaterialer44112700Bjelker44113000Veibygningsmaterialer44113100Brulegningsmaterialer44113120Fliser til brolegging44113130Brustein44113140Steinmaterialer til veibygging44113200Steinheller44113300Belagte materialer44113310Belagte veimaterialer44113320Belagte steinmaterialer til veibygging44113330Bestrykningsmaterialer44113500Glassperler44113600Bitumen og asfalt44113610Bitumen44113620Asfalt44113700Materialer til utbedring av veier44113800Veileggingsmaterialer44113810Overflatebehandling44113900Materialer til veivedlikehold44113910Materialer til vintervedlikehold44114000Betong44114100Ferdigblandet betong44114200Betongprodukter44114210Betongpæler44114220Betongrør og -armatur44114250Betongheller44115000Armatur til bygninger44115100Kanalrør44115200Material til sanitæranlegg og varmeinstallasjoner44115210Materialer til sanitæranlegg44115220Materialer til varmeinstallasjoner44115400Overlys44115500Sprinklersystemer44115600Trappeheiser44115700Utendørs sjalusier44115710Baldakiner44115800Armatur til innendørs bruk44115810Gardinskinner og gardiner44115900Solbeskyttelsesanordninger"
44111000Byggematerialer44111100Murstein44111200Sement44111210Boresement44111300Keramikk44111400Maling,og veggbekledninger44111500Isolering og isoleringstilbehør44111510Isolering44111520Varmeisolasjonsmateriale44111530Elektriske isoleringsdeler44111540Isolerglass44111600Blokker44111700Fliser44111800Mørtel44111900Keramikkheller
44111400Maling,og veggbekledninger
44111500Isolering,og isoleringstilbehør44111510Isolering44111520Varmeisolasjonsmateriale44111530Elektriske isoleringsdeler44111540Isolerglass
44111530Elektriske,isoleringsdeler
44112000Diverse,"bygningskonstruksjoner44112100Leskur44112110Deler til leskur44112120Profildeler44112200Gulvbelegg44112210Harde gulv44112220Dobbeltgulv44112230Linoleum44112240Parkett44112300Skillevegg44112310Skillevegger44112400Tak44112410Takkonstruksjoner44112420Takbjelker44112430Takstoler44112500Takdekningsmaterialer44112510Takspon, shingel44112600Lydisoleringsmaterialer44112700Bjelker"
44112100Leskur44112110Deler,til leskur44112120Profildeler
44112110Deler,til leskur
44112200Gulvbelegg44112210Harde,gulv44112220Dobbeltgulv44112230Linoleum44112240Parkett
44112210Harde,gulv
"44112500Takdekningsmaterialer44112510Takspon,",shingel
"44112510Takspon,",shingel
44113000Veibygningsmaterialer44113100Brulegningsmaterialer44113120Fliser,til brolegging44113130Brustein44113140Steinmaterialer til veibygging44113200Steinheller44113300Belagte materialer44113310Belagte veimaterialer44113320Belagte steinmaterialer til veibygging44113330Bestrykningsmaterialer44113500Glassperler44113600Bitumen og asfalt44113610Bitumen44113620Asfalt44113700Materialer til utbedring av veier44113800Veileggingsmaterialer44113810Overflatebehandling44113900Materialer til veivedlikehold44113910Materialer til vintervedlikehold
44113100Brulegningsmaterialer44113120Fliser,til brolegging44113130Brustein44113140Steinmaterialer til veibygging
44113120Fliser,til brolegging
44113140Steinmaterialer,til veibygging
44113300Belagte,materialer44113310Belagte veimaterialer44113320Belagte steinmaterialer til veibygging44113330Bestrykningsmaterialer
44113310Belagte,veimaterialer
44113320Belagte,steinmaterialer til veibygging
44113600Bitumen,og asfalt44113610Bitumen44113620Asfalt
44113700Materialer,til utbedring av veier
44113900Materialer,til veivedlikehold44113910Materialer til vintervedlikehold
44113910Materialer,til vintervedlikehold
44114000Betong44114100Ferdigblandet,betong44114200Betongprodukter44114210Betongpæler44114220Betongrør og -armatur44114250Betongheller
44114100Ferdigblandet,betong
44114200Betongprodukter44114210Betongpæler44114220Betongrør,og -armatur44114250Betongheller
44114220Betongrør,og -armatur
44115000Armatur,til bygninger44115100Kanalrør44115200Material til sanitæranlegg og varmeinstallasjoner44115210Materialer til sanitæranlegg44115220Materialer til varmeinstallasjoner44115400Overlys44115500Sprinklersystemer44115600Trappeheiser44115700Utendørs sjalusier44115710Baldakiner44115800Armatur til innendørs bruk44115810Gardinskinner og gardiner44115900Solbeskyttelsesanordninger
44115200Material,til sanitæranlegg og varmeinstallasjoner44115210Materialer til sanitæranlegg44115220Materialer til varmeinstallasjoner
44115210Materialer,til sanitæranlegg
44115220Materialer,til varmeinstallasjoner
44115700Utendørs,sjalusier44115710Baldakiner
44115800Armatur,til innendørs bruk44115810Gardinskinner og gardiner
44115810Gardinskinner,og gardiner
44130000Hovedkloakkledninger44131000Spillvannskamre44132000Kulvertelementer44133000Sluttmuffer,"av strekkbart jern44134000Bøyninger, knerør"
44133000Sluttmuffer,av strekkbart jern
"44134000Bøyninger,",knerør
44140000Produkter,i forbindelse med konstruksjonsmaterialer44141000Ledere44141100Elektriske ledninger44142000Rammer44143000Paller44144000Stolper
44141000Ledere44141100Elektriske,ledninger
44141100Elektriske,ledninger
"44160000Rørledning,","rørsystemer, rør, fôringsrør, rørledning systemer og beslektede gjenstander44161000Rørledninger44161100Gassrørledninger44161110Gassledningsnett44161200Vannledninger44161400Undervannsrørledning44161410Undersjøiske rørledninger44161500Høytrykksrørledning44161600Lavtrykksrørledning44161700Rørrensere44161710Rørrenserutløsere44161720Rørrensermottakere44161730Endestasjoner for rørrensere44162000Rørsystem44162100Leveranser til rørsystemer44162200Distribusjon rørsystemer44162300Utløpsrørsystemer44162400Kummer av forglasset leire44162500Rørledninger til drikkevann44163000Rør og armatur44163100Rør44163110Dreneringsrør44163120Fjernvarmerørledninger44163130Spillvannsrør44163140Damp- og vannrør44163150Lavtrykksrør44163160Distribusjonsrør og tilbehør44163200Rørbeslag44163210Rørklemmer44163230Rørkoblinger44163240Rørskøter44164000Fôringsrør og rørledninger44164100Fôringsrør44164200Tuber44164300Røremner44164310Tuber og beslag44165000Slanger, stigerør og hylser44165100Slanger44165110Boreslanger44165200Stigerør44165210Bøyelige stigerør44165300Hylser44166000Rørmateriale til oljeindustrien.44167000Diverse rørarmaturer44167100Koplinger44167110Flenser44167200Reparasjonstvinger og krager44167300Rørbøyninger, T-rør og rørarmatur44167400Vinkler"
44161000Rørledninger44161100Gassrørledninger44161110Gassledningsnett44161200Vannledninger44161400Undervannsrørledning44161410Undersjøiske,rørledninger44161500Høytrykksrørledning44161600Lavtrykksrørledning44161700Rørrensere44161710Rørrenserutløsere44161720Rørrensermottakere44161730Endestasjoner for rørrensere
44161400Undervannsrørledning44161410Undersjøiske,rørledninger
44161410Undersjøiske,rørledninger
44161700Rørrensere44161710Rørrenserutløsere44161720Rørrensermottakere44161730Endestasjoner,for rørrensere
44161730Endestasjoner,for rørrensere
